,exe_spe,departement,dep_mon,densite
901,12,43,208,13.2
902,12,44,866,21.6
903,12,45,966,13.7
904,12,46,71,20.8
905,12,47,179,14.1
906,12,48,22,15.7
907,12,49,539,20.0
908,12,5,143,12.8
909,12,50,181,11.8
910,12,51,338,20.2
911,12,52,173,12.8
912,12,53,102,11.0
913,12,54,364,22.5
914,12,55,144,8.9
915,12,56,295,15.8
916,12,57,530,13.8
917,12,58,131,13.2
918,12,59,2226,19.1
919,12,6,1189,32.6
920,12,60,921,14.3
921,12,61,234,11.9
922,12,62,657,11.3
923,12,63,451,25.4
924,12,64,643,24.6
925,12,65,227,17.1
926,12,66,373,20.1
927,12,67,1181,25.3
928,12,68,995,17.4
929,12,69,1886,37.8
930,12,7,302,15.8
931,12,70,190,16.8
932,12,71,296,13.5
933,12,72,280,12.9
934,12,73,531,19.3
935,12,74,781,18.3
936,12,75,3582,97.8
937,12,76,1093,18.1
938,12,77,1499,14.4
939,12,78,2106,27.0
940,12,79,159,12.1
941,12,8,184,9.0
942,12,80,290,18.4
943,12,81,228,18.7
944,12,82,189,14.9
945,12,83,1087,19.0
946,12,84,647,26.5
947,12,85,293,9.3
948,12,86,380,21.0
949,12,87,184,29.3
950,12,88,115,12.1
951,12,89,563,15.3
952,12,9,196,15.0
953,12,90,213,14.5
954,12,91,1444,19.9
955,12,92,2638,24.5
956,12,93,1735,21.1
957,12,94,2076,32.6
958,12,95,1581,20.3
959,12,97,2803,11.1
960,13,1,592,23.2
961,13,10,91,31.6
962,13,11,121,43.2
963,13,12,59,43.4
964,13,13,1432,95.2
965,13,14,131,79.59999999999998
966,13,15,50,37.5
967,13,16,175,28.0
968,13,17,617,51.6
969,13,18,537,33.3
970,13,19,88,43.7
971,13,2,382,47.1
972,13,20,338,55.45
973,13,21,121,73.7
974,13,22,276,39.1
975,13,23,40,42.1
976,13,24,285,36.5
977,13,25,373,69.4
978,13,26,668,53.7
979,13,27,368,14.0
980,13,28,287,35.7
981,13,29,85,60.6
982,13,3,71,31.2
983,13,30,283,50.2
984,13,31,382,94.7
985,13,32,24,43.2
986,13,33,1283,67.8
987,13,34,431,91.6
988,13,35,341,61.6
989,13,36,111,17.0
990,13,37,642,98.0
991,13,38,1029,60.8
992,13,39,141,25.7
993,13,4,119,37.0
994,13,40,189,42.7
995,13,41,197,37.5
996,13,42,276,59.6
997,13,43,55,20.1
998,13,44,313,54.2
999,13,45,585,47.3
1000,13,46,39,39.2
1001,13,47,129,36.1
1002,13,48,81,33.6
1003,13,49,141,51.0
1004,13,5,59,54.0
1005,13,50,312,40.8
1006,13,51,514,64.1
1007,13,52,17,50.0
1008,13,53,42,14.8
1009,13,54,292,103.7
1010,13,55,67,32.6
1011,13,56,111,42.6
1012,13,57,497,45.8
1013,13,58,150,38.1
1014,13,59,1651,61.9
1015,13,6,1236,96.5
1016,13,60,521,40.7
1017,13,61,88,48.7
1018,13,62,602,35.5
1019,13,63,125,76.3
1020,13,64,439,60.0
1021,13,65,65,54.5
1022,13,66,180,54.4
1023,13,67,1259,82.40000000000002
1024,13,68,838,52.8
1025,13,69,1633,93.6
1026,13,7,398,38.9
1027,13,70,114,23.3
1028,13,71,202,36.2
1029,13,72,148,34.8
1030,13,73,194,64.6
1031,13,74,539,46.6
1032,13,75,2412,282.1
1033,13,76,738,68.7
1034,13,77,1254,43.1
1035,13,78,1426,65.8
1036,13,79,77,26.8
1037,13,8,214,38.9
1038,13,80,236,61.1
1039,13,81,48,51.8
1040,13,82,45,39.3
1041,13,83,801,62.8
1042,13,84,381,53.2
1043,13,85,119,16.9
1044,13,86,162,68.0
1045,13,87,389,42.8
1046,13,88,69,48.8
1047,13,89,140,36.0
1048,13,9,70,48.2
1049,13,90,144,47.5
1050,13,91,1227,49.1
1051,13,92,1688,108.0
1052,13,93,929,49.4
1053,13,94,1310,99.2
1054,13,95,899,51.6
1055,13,97,1042,47.12000000000001
1056,14,1,1300,0.0
1057,14,10,546,0.0
1058,14,11,374,0.0
1059,14,12,273,0.0
1060,14,13,2716,0.0
1061,14,14,850,0.0
1062,14,15,180,0.0
1063,14,16,386,0.0
1064,14,17,1219,0.0
1065,14,18,1127,0.0
1066,14,19,754,0.0
1067,14,2,1047,0.0
1068,14,20,720,0.0
1069,14,21,743,0.0
1070,14,22,885,0.0
1071,14,23,475,0.0
1072,14,24,720,0.0
1073,14,25,911,0.0
1074,14,26,1190,0.0
1075,14,27,1370,0.0
1076,14,28,882,0.0
1077,14,29,791,0.0
1078,14,3,833,0.0
1079,14,30,1509,0.0
1080,14,31,1496,0.0
1081,14,32,276,0.0
1082,14,33,1974,0.0
