product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Petit Arlequin Chocolat Noir,fruits à coque,,,,,,,,,,,,,
cranberries,fruits à coque,arachides,noix,,,,,,,,,,,
Tableta de chocolate negro &quot;FairGlobe&quot; 70% cacao,Frutos de cáscara,Soja,Leche,,,,,,,,,,,
Gingerbread,Oeuf,sésame,arachide,fruits à coque,gluten,,,,,,,,,
Cooking chocolate Dark &quot;Belbake&quot; 55% cacao,Frutos de cáscara,Cacahuetes,Gluten,Soja,Leche,,,,,,,,,
Crudités Poulet sauce Caesar,céréales,crustacés,oeuf,poisson,,,,,,,,,,
Crudités Thon Oeuf Sauce cocktail,crustacés,lait,,,,,,,,,,,,
"Choco nussa, pâte à tartiner aux noisettes",soja,Arachide,Fruits à coque,,,,,,,,,,,
Pizza jambon fromages,Gluten,Lait,,,,,,,,,,,,
Biscuits sablés chocolat au lait,Fruits à coque,Soja,,,,,,,,,,,,
"Poêlée cuisinée normande aux brocolis, carottes, pommes et pommes de terre, sauce au cidre",Gluten,Oeufs,Soja,Céleri,Moutarde,Sésame,Fruits à coque,,,,,,,
Tableta de chocolate negro &quot;J.D. Gross&quot; Ecuador con naranja 70% cacao,Frutos de cáscara,Leche,Soja,,,,,,,,,,,
Chocolat dégustation à la framboise,Produits lactés,noisettes,amandes,,,,,,,,,,,
Pétales goût salé,arachides,blé,céleri,lait,,,,,,,,,,
Sticks & Bretzels,Lait,Sésame,Soja,,,,,,,,,,,
Stir fry noodles,Soja,Lait,Moutarde,Sésame,Céleri,,,,,,,,,
Hachis parmentier,gluten,lait,oeuf,poisson,arachide,soja,fruits à coque,céleri,moutarde,,,,,
Terrine aux St Jacques et à la Laitue de mer,moutarde,céleri,fruits à coque.,crustacés,,,,,,,,,,
Céréales Master Crumble  fruits secs,fruits à coque,sésame,lupin,lait,soja,résidus de tiges,,,,,,,,
Master crumble chocolat noisette,Sésame,Lupin,Fruits à coque,,,,,,,,,,,
Boule de pain,Sesame,Fruits à coque,,,,,,,,,,,,
Galletas Digestive &quot;Opey&quot; con trigo,Leche,Soja,,,,,,,,,,,,
Galletas Digestive &quot;Opey&quot; con avena,Leche,Soja,,,,,,,,,,,,
Biscuits pour le petit déjeuner au muesli et aux fruits,Arachides,Oeuf,Fruits à coque,Soja,,,,,,,,,,
Biscuits Petit Déjeuner Céréales & pépites de chocolat,oeuf,arachide,fruits à coque,,,,,,,,,,,
Barquettes fraise,lait,fruits à coque,,,,,,,,,,,,
Barquettes Abricot,lait,fruits à coque,,,,,,,,,,,,
Barquettes choco-noisette,fruits à coque,,,,,,,,,,,,,
Saumon sauce oseille et ses pâtes,lait,oeuf,poisson.,blé,poisson,,,,,,,,,
Cervelas à l'alsacienne,pistache,moutarde,,,,,,,,,,,,
